number,class,clearance_level,description,image_url,,,,,,,
470,Euclid,2," SCP-470 appears to be a large abandoned office building in ¦¦¦¦¦¦¦¦, ¦¦¦¦¦¦¦. SCP-470 has had no registered owner since ¦¦¦¦, when it was abandoned with the collapse of the ¦¦¦¦¦¦¦ Corporation. The building is seven floors, including basement levels, and in a general state of disrepair consistent with its term of abandonment.",https://scp-wiki.wdfiles.com/local--files/scp-470/IMG_3784.jpg,,,,,,,
471,Euclid,2," SCP-471 is an artificial satellite currently in an elliptical orbit around Earth. SCP-471 appears identical to Satellite ¦¦¦¦¦¦¦¦¦-¦, a weather satellite launched by [REDACTED] in 197¦. Though SCP-471 superficially resembles Satellite ¦¦¦¦¦¦¦¦¦-¦, additional equipment of unknown purpose can be seen on its backside. Photographs and manufacture reports have confirmed that this equipment was not present at the launch of Satellite ¦¦¦¦¦¦¦¦¦-¦. It is unknown whether Satellite ¦¦¦¦¦¦¦¦¦-¦ was altered after launch or replaced entirely sometime later. SCP-471 has continued transmitting the same weather information Satellite ¦¦¦¦¦¦¦¦¦-¦ has been responsible for, which allowed SCP-471 to go undetected for decades.",https://scp-wiki.wdfiles.com/local--files/scp-471/satellite.jpg,,,,,,,
472,,6," SCP-472 is a red garnet, of the pyrope-spessartite variety, of unusual size (1.8 carat). The phrase ""For man looketh on the outward appearance, but the LORD looketh on the heart"" has been engraved in 2 mm (0.08 in) high lettering on the stone's surface. Relevance of the phrase is unknown.",,,,,,,,
473,Euclid,2," SCP-473 is a wrecked Spanish galleon typical of those used in the early 16th century. It is resting on the ocean floor at ¦¦º¦¦'¦¦""N ¦¦¦º¦¦'¦¦""W. SCP-473 was brought to the attention of the Foundation after the loss of a research vessel operated by [REDACTED] University. A Search and Rescue team which approached SCP-473 reported audio anomalies ""like giggling, and pleading for help"". They reported voices in English, Spanish and an unrecognized language. Agents embedded in [REDACTED] immediately moved to cancel the search, declaring the crew and vessel lost.",https://scp-wiki.wdfiles.com/local--files/scp-473/SCP-473.jpg,,,,,,,
474,Euclid,2," SCP-474 denominates pills produced for non-medicinal purposes by Alexylva University in apparent collaboration with the Oneiroi Collective. Each occurrence of SCP-474 is blue, and analysis has shown it to be chemically identical to generic sugar-based placebo pills.",https://scp-wiki.wdfiles.com/local--files/scp-474/474.JPG,,,,,,,
475,,5," SCP-475 is an ornate sculpture of soap depicting an unidentified Pope. Inscribed at the base of the statue is the phrase ""Cleanliness is next to Godliness."" Analysis reveals the object to be composed of long-chain saturated fatty acids (CH 3 -(CH 2 ) n ), totaling 89.7% of its mass, with the remaining 10.3% corresponding to ¦¦¦¦¦¦¦-¦¦¦¦, attached as the hydrophilic head. It is believed that the ¦¦¦¦¦¦¦-¦¦¦¦ gives SCP-475 its unique properties, but all attempts to recreate this compound have failed.",,,,,,,,
476,Safe,1," SCP-476 is a 60-page Rand McNally  Canada Road Atlas  published in 2006 (ISBN 0-88640-¦¦¦-¦) by the Canadian Cartographics Corporation. Upon closer examination, it is revealed to contain a large number of anomalies such as locations that do not exist, missing locations, and misplaced or misnamed ones. Indices and distance chart are consistent with the anomalous maps. A tentative list of anomalies can be found in document SCP-476a.",,,,,,,,
477,Euclid,2," Site 44 is located upon and encloses a thin layer of Cambrian shale covering approximately 2 square km of a mesa in Zavkhan province, Mongolia. Within the stone is a high concentration of what appear to be aquatic fossils from the Precambrian era, collectively known as SCP-477. These anomalous fossils are capable of motion, appearing to “swim” through sedimentary rock as though it were shallow water.",,,,,,,,
478,Euclid,2," SCP-478 are small entities of inconsistent size and shape that resemble a darkly-coloured butterfly or moth in flight. Wild instances have been encountered a number of times, but their elusive nature makes capture difficult. Extracted instances of SCP-478 do not seem to need to eat, sleep, breathe, or breed.",,,,,,,,
479,Euclid,2," Hallway 4 is a 25m long hallway connecting the plant room in the Site 14 D-class dormitories to the laundry room. As of ¦¦/¦¦/20¦¦, persons entering Hallway 4 have mentioned powerful visual, auditory and olfactory hallucinations of blood, ranging from isolated blood spots on the floor to ""blood raining upwards, hitting the floor from the other side like it's the pane of a window"".",http://scp-wiki.wdfiles.com/local--files/scp-479/Schiffbau_tunnel_small.jpg,,,,,,,
480,Euclid,2," SCP-480 is a localized electromagnetic field generated by an unseen and as yet unknown source, capable of inducing substantial changes to human consciousness and physiology.",,,,,,,,
481,Euclid,2," SCP-481 was originally a clustered pattern of scars, roughly corresponding to a variably partial map of ¦¦¦¦¦¦¦¦, India, appearing on SCP-481-1 (formerly Ms. ¦¦¦¦¦¦¦ ¦¦-¦¦¦¦¦¦¦¦¦) since at least 199¦. SCP-481 has since spread to SCP-481-2 (formerly Agent ¦¦¦¦¦, see Addendum 481-01). When SCP-481 first manifested on SCP-481-1, it appeared as a small series of criss-crossing scars that has been found to correspond to the neighborhood of ¦¦¦¦¦¦¦¦¦¦¦¦¦¦ in ¦¦¦¦¦¦¦¦. While it is still not readily apparent why this town is being mapped, the sympathetic effects of the scars and city are readily apparent.",,,,,,,,
482,Euclid,2," SCP-482 is a black leather straitjacket of similar make to the ¦¦¦ brand. Although the jacket seems to made for the Medium size, testing has shown that it can fit most body sizes; subjects with larger body types report, however, that they feel “compressed” or “suffocated” while wearing it. The words “Made in Tsiao-yan, China / Hand Wash Only / No Aserejena Powder” are present on the manufacturer’s tag in faded text. Neither the factory nor the item “Aserejena” exist on any known records. Finally, while there are no obvious signs of wear and tear on the item, there are several small cuts on the straps. Analysis has shown that these could not have been inflicted by anyone wearing SCP-482. Testing has shown that while immune to any damage due to body changes occurred by the subject, it can be damaged by external forces as normal for an object of this material. Further destructive testing on SCP-482 has been suspended due to the lack of viable duplicates.",,,,,,,,
483,Safe,1," SCP-483 is a standard orange prescription bottle filled with up to 50 spherical, gray tablets (SCP-483-1). The label indicates that it was issued to a ""Sherman, David A."", and in place of a prescription name, the label reads ""anti-aging"". The remainder of the label has been torn off. Analysis of the tablets shows that they are chemically identical to placebos.",,,,,,,,
484,Safe,1," SCP-484 is a pharmaceutical of unknown origin originally discovered in use as a street drug in urban areas throughout the world. Interrogations of dealers has put a tentative first release around June, 200¦ in ¦¦¦¦, Norway. As with most street drugs, the physical form of SCP-484 varies greatly from sample to sample. SCP-484 is generally found in pill form, though at least two types have been powders within a rapidly dissolving gel pack. Reports of a trans-dermal patch were received but no sample has been obtained to date. SCP-484 has a number of street names, with the most common being V, Vic (vik), Vicar (vi-'ker), and Care, each revolving around the word ""Vicarious"". Phrasal slang includes any mention of memories or remembering and name code uses V-names like Victor or Vivian.",,,,,,,,
485,Safe,1," SCP-485 appears to be a standard retractable pen with an unusually easy to click button. The pen itself was accidentally stolen by Dr. Dahij, upon renewing his life insurance policy. The pen once belonged to Agent ¦¦¦¦¦¦¦¦ of ¦¦¦¦ Life Insurance Inc. Each time the pen's tip is extended, a random person known to the user dies by an unknown cause. Since the button's action is abnormally smooth, subjects during testing were noted to rapidly click the pen without conscious thought or realization of what was happening.",,,,,,,,
